Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
20100618,Toy Story 3,200000000.00,415004880.00,1069818229.00
20130503,Iron Man 3,200000000.00,408992272.00,1215392272.00
20170505,Guardians of the Galaxy Vol 2,200000000.00,389385268.00,860049430.00
20040630,Spider-Man 2,200000000.00,373524485.00,795110670.00
20100305,Alice in Wonderland,200000000.00,334191110.00,1025491110.00
20121108,Skyfall,200000000.00,304360277.00,1110526981.00
20130621,Monsters University,200000000.00,268488329.00,743588329.00
20130308,Oz the Great and Powerful,200000000.00,234770996.00,490359051.00
20140523,X-Men: Days of Future Past,200000000.00,233921534.00,747862775.00
20140502,The Amazing Spider-Man 2,200000000.00,202853933.00,708996336.00
20110624,Cars 2,200000000.00,191450875.00,560155383.00
20101217,Tron: Legacy,200000000.00,172062763.00,400062763.00
20091113,2012,200000000.00,166112167.00,788408539.00
20090521,Terminator Salvation,200000000.00,125322469.00,365491792.00
20110617,Green Lantern,200000000.00,116601172.00,219535492.00
20100528,Prince of Persia: Sands of Time,200000000.00,90759676.00,314594597.00
20110629,Transformers: Dark of the Moon,195000000.00,352390543.00,1123790543.00
20170609,The Mummy,195000000.00,80101125.00,403814493.00
20130301,Jack the Giant Slayer,195000000.00,65187603.00,197687603.00
20150403,Furious 7,190000000.00,351032910.00,1516748684.00
20130516,Star Trek Into Darkness,190000000.00,228778661.00,467381584.00
20130621,World War Z,190000000.00,202359711.00,531514650.00
20130510,The Great Gatsby,190000000.00,144840419.00,351040419.00
20091106,Disney's A Christmas Carol,190000000.00,137855863.00,315709697.00
20130712,Pacific Rim,190000000.00,101802906.00,411002906.00
20151125,The Good Dinosaur,187500000.00,123087120.00,334342692.00
20080502,Iron Man,186000000.00,318604126.00,585171547.00
20080718,The Dark Knight,185000000.00,533345358.00,1001926710.00
20080522,Indiana Jones and the Kingdom of the Crystal Skull,185000000.00,317023851.00,786558145.00
20120622,Brave,185000000.00,237282182.00,554606532.00
20170310,Kong: Skull Island,185000000.00,168052812.00,561137727.00
20160722,Star Trek Beyond,185000000.00,158848340.00,336398312.00
20051209,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000.00,291710957.00,720539572.00
20140530,Maleficent,180000000.00,241407328.00,758536735.00
20161118,Fantastic Beasts and Where to Find Them,180000000.00,234037575.00,803798342.00
20080627,WALL-E,180000000.00,223808164.00,532590994.00
20070810,Rush Hour 3,180000000.00,140125968.00,256585882.00
20160701,The Legend of Tarzan,180000000.00,126643061.00,349143061.00
20111123,Hugo,180000000.00,73864507.00,180047784.00
20170721,Valerian and the City of a Thousand Planets,180000000.00,39439346.00,124431946.00
20150206,Jupiter Ascending,179000000.00,47482519.00,181982519.00
20160527,X-Men: Apocalypse,178000000.00,155442489.00,542742489.00
20140606,Edge of Tomorrow,178000000.00,100206256.00,370541256.00
20160415,The Jungle Book,175000000.00,364001123.00,963901123.00
20150619,Inside Out,175000000.00,356461711.00,853707581.00
20160805,Suicide Squad,175000000.00,325100054.00,746100054.00
20170707,Spider-Man: Homecoming,175000000.00,318843082.00,730854612.00
20090529,Up,175000000.00,293004164.00,731542621.00
20090327,Monsters vs. Aliens,175000000.00,198351526.00,381687380.00
20090807,G.I. Joe: The Rise of Cobra,175000000.00,150201498.00,302469017.00
19990630,Wild Wild West,175000000.00,113805681.00,221229335.00
20080801,The Mummy: Tomb of the Dragon Emperor,175000000.00,102491776.00,405760225.00
20070622,Evan Almighty,175000000.00,100289690.00,174131329.00
19950728,Waterworld,175000000.00,88246220.00,264246220.00
20170512,King Arthur: Legend of the Sword,175000000.00,39175066.00,140012608.00
20131225,47 Ronin,175000000.00,38362475.00,151716815.00
20201231,Singularity,175000000.00,0.00,0.00
20140801,Guardians of the Galaxy,170000000.00,333172112.00,771051335.00
20100507,Iron Man 2,170000000.00,312433331.00,621156389.00
20140404,Captain America: The Winter Soldier,170000000.00,259746958.00,714401889.00
20140711,Dawn of the Planet of the Apes,170000000.00,208545589.00,710644566.00
20041110,The Polar Express,170000000.00,194949659.00,319090241.00
20120601,Snow White and the Huntsman,170000000.00,155136755.00,401021746.00
20030701,Terminator 3: Rise of the Machines,170000000.00,150358296.00,433058296.00
20040507,Van Helsing,170000000.00,120150546.00,300150546.00
20150522,Tomorrowland,170000000.00,93436322.00,207283457.00
20160527,Alice Through the Looking Glass,170000000.00,77042381.00,277442381.00
20100521,Shrek Forever After,165000000.00,238736787.00,756244673.00
20161104,Doctor Strange,165000000.00,232641920.00,677541920.00
20141107,Big Hero 6,165000000.00,222527828.00,652127828.00
20100326,How to Train Your Dragon,165000000.00,217581231.00,494870991.00
20121102,Wreck-It Ralph,165000000.00,189412677.00,496511521.00
20141105,Interstellar,165000000.00,188017894.00,668913307.00
20160624,Independence Day: Resurgence,165000000.00,103144286.00,387644286.00
20110729,Cowboys and Aliens,163000000.00,100240551.00,175910315.00
20170317,Beauty and the Beast,160000000.00,504014165.00,1260914165.00
20070517,Shrek the Third,160000000.00,322719944.00,807330936.00
20100716,Inception,160000000.00,292576195.00,832584416.00
20151120,The Hunger Games: Mockingjay - Part 2,160000000.00,281723902.00,650523427.00
20130524,Fast and Furious 6,160000000.00,238679850.00,789300444.00
20140516,Godzilla,160000000.00,200676069.00,529076069.00
20110603,X-Men: First Class,160000000.00,146408305.00,355408305.00
20081225,The Curious Case of Benjamin Button,160000000.00,127509326.00,329809326.00
20100714,The Sorcerer's Apprentice,160000000.00,63150991.00,217986320.00
20060512,Poseidon,160000000.00,60674817.00,181674817.00
20160610,Warcraft,160000000.00,47225655.00,433125655.00
20181218,Aquaman,160000000.00,0.00,0.00
20160930,Deepwater Horizon,156000000.00,61433527.00,113611666.00
20101210,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000.00,104386950.00,418186950.00
20150701,Terminator: Genisys,155000000.00,89760956.00,440160956.00
20041124,Alexander,155000000.00,34297191.00,167297191.00
20170714,War for the Planet of the Apes,152000000.00,142753895.00,347557766.00
20010525,Pearl Harbor,151500000.00,198539855.00,449239855.00
20070702,Transformers,151000000.00,319246193.00,708272592.00
20170602,Wonder Woman,150000000.00,406203061.00,795588728.00
20131122,Frozen,150000000.00,400738009.00,1274234980.00
20160304,Zootopia,150000000.00,341268248.00,1019920974.00
20070711,Harry Potter and the Order of the Phoenix,150000000.00,292004738.00,942943935.00
20051118,Harry Potter and the Goblet of Fire,150000000.00,290013036.00,896911078.00
20030515,The Matrix Reloaded,150000000.00,281553689.00,738576929.00
20071214,I am Legend,150000000.00,256393010.00,585532684.00
20161123,Moana,150000000.00,248757044.00,639537208.00
20080701,Hancock,150000000.00,227946274.00,624234272.00
20050715,Charlie and the Chocolate Factory,150000000.00,206459076.00,475825484.00
20070629,Ratatouille,150000000.00,206445654.00,626549695.00
20131108,Thor: The Dark World,150000000.00,206362140.00,644602516.00
20050615,Batman Begins,150000000.00,205343774.00,359142722.00
20150731,Mission: Impossible—Rogue Nation,150000000.00,195042377.00,700868363.00
20110506,Thor,150000000.00,181030624.00,449326618.00
20081107,Madagascar: Escape 2 Africa,150000000.00,180010950.00,599516844.00
20090501,X-Men Origins: Wolverine,150000000.00,179883157.00,374825760.00
20090522,Night at the Museum: Battle of the Smithsonian,150000000.00,177243721.00,402231063.00
20170721,Dunkirk,150000000.00,172479030.00,397866799.00
20110526,Kung Fu Panda 2,150000000.00,165249063.00,664837547.00
20150515,Mad Max: Fury Road,150000000.00,153636354.00,370742166.00
20031105,The Matrix Revolutions,150000000.00,139270910.00,427300260.00
20060505,Mission: Impossible III,150000000.00,133501348.00,397501348.00
20090515,Angels & Demons,150000000.00,133375846.00,490875846.00
20040514,Troy,150000000.00,133298577.00,484161265.00
20100701,The Last Airbender,150000000.00,131772187.00,319713881.00
20071102,Bee Movie,150000000.00,126631277.00,287594577.00
20090724,G-Force,150000000.00,119436770.00,292817841.00
20081121,Bolt,150000000.00,114053759.00,328015209.00
20120330,Wrath of the Titans,150000000.00,83670083.00,305270083.00
20071116,Beowulf,150000000.00,82195215.00,194995215.00
20120511,Dark Shadows,150000000.00,79727149.00,238202668.00
20130628,White House Down,150000000.00,73103784.00,205440387.00
20100212,The Wolfman,150000000.00,62189884.00,142634358.00
20170217,The Great Wall,150000000.00,45157105.00,331775766.00
20151009,Pan,150000000.00,35088320.00,123888320.00
20110311,Mars Needs Moms,150000000.00,21392758.00,39549758.00
20061103,Flushed Away,149000000.00,64665672.00,179357126.00
20120608,Madagascar 3: Europe's Most Wanted,145000000.00,216391482.00,746921271.00
20111216,Mission: Impossible—Ghost Protocol,145000000.00,209397903.00,694713230.00
20140613,How to Train Your Dragon 2,145000000.00,177002924.00,616102924.00
19990616,Tarzan,145000000.00,171091819.00,448191819.00
20140307,Mr. Peabody & Sherman,145000000.00,111506430.00,269806430.00
20121121,Rise of the Guardians,145000000.00,103412758.00,306900902.00
20050408,Sahara,145000000.00,68671925.00,121671925.00
20160715,Ghostbusters,144000000.00,128350574.00,229034050.00
20021122,Die Another Day,142000000.00,160942139.00,431942139.00
20090508,Star Trek,140000000.00,257730019.00,385680446.00
19980701,Armageddon,140000000.00,201578182.00,554600000.00
20020703,Men in Black 2,140000000.00,190418803.00,441767803.00
20110722,Captain America: The First Avenger,140000000.00,176654505.00,370569776.00
20160129,Kung Fu Panda 3,140000000.00,143528619.00,518614383.00
19980710,Lethal Weapon 4,140000000.00,130444603.00,285400000.00
20130327,G.I. Joe: Retaliation,140000000.00,122523060.00,375740705.00
20031205,The Last Samurai,140000000.00,111110575.00,456810575.00
20051221,Fun With Dick And Jane,140000000.00,110550000.00,203018919.00
20141212,Exodus: Gods and Kings,140000000.00,65014513.00,268314513.00
