Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
20111021,The Three Musketeers,90000000.00,20377913.00,139877913.00
20170421,The Promise,90000000.00,8224288.00,10038699.00
20101124,The Nutcracker in 3D,90000000.00,195459.00,20466016.00
19960510,Twister,88000000.00,241688385.00,495700000.00
20050603,Cinderella Man,88000000.00,61649911.00,105021488.00
20050708,Fantastic Four,87500000.00,154696080.00,333132750.00
20010209,Hannibal,87000000.00,165092266.00,350100280.00
20030725,Seabiscuit,86000000.00,120277854.00,148715342.00
20001222,Cast Away,85000000.00,233632142.00,427230516.00
20061117,Happy Feet,85000000.00,198000317.00,385000317.00
20011207,Ocean's Eleven,85000000.00,183417150.00,450728529.00
20040723,The Bourne Supremacy,85000000.00,176087450.00,288587450.00
19970725,Air Force One,85000000.00,172956409.00,315268353.00
20090403,Fast & Furious,85000000.00,155064265.00,363064265.00
20080314,Horton Hears a Who,85000000.00,154529439.00,299477886.00
20140321,Divergent,85000000.00,150947895.00,276014965.00
20120928,Hotel Transylvania,85000000.00,148313048.00,378505812.00
20071121,Enchanted,85000000.00,127706877.00,340384141.00
20120210,Safe House,85000000.00,126181630.00,208542162.00
20070720,I Now Pronounce You Chuck and Larry,85000000.00,119725280.00,185708462.00
20070608,Ocean's Thirteen,85000000.00,117144465.00,311744465.00
20091225,It’s Complicated,85000000.00,112735375.00,224614744.00
19981120,Enemy of the State,85000000.00,111549836.00,250649836.00
20060929,Open Season,85000000.00,85105259.00,191932158.00
20111104,Tower Heist,85000000.00,78046570.00,150422946.00
20001122,102 Dalmatians,85000000.00,66941559.00,66941559.00
20120330,Mirror Mirror,85000000.00,64935167.00,173613482.00
20061208,The Holiday,85000000.00,63280000.00,205190324.00
20060616,The Fast and the Furious: Tokyo Drift,85000000.00,62615510.00,157794205.00
20051209,Memoirs of a Geisha,85000000.00,57010853.00,161510853.00
20010316,Enemy at the Gates,85000000.00,51396781.00,96971293.00
19930618,Last Action Hero,85000000.00,50016394.00,137298489.00
20030926,The Rundown,85000000.00,47641743.00,80831893.00
20111123,Arthur Christmas,85000000.00,46462469.00,149717124.00
20100730,Cats & Dogs: The Revenge of Kitty Galore,85000000.00,45539292.00,114979922.00
20170120,xXx: Return of Xander Cage,85000000.00,44898413.00,345114933.00
19981113,Meet Joe Black,85000000.00,44650003.00,44650003.00
20020208,Collateral Damage,85000000.00,40048332.00,78353508.00
20020315,Showtime,85000000.00,37948765.00,78948765.00
19950630,Judge Dredd,85000000.00,34687912.00,113487912.00
20070302,Zodiac,85000000.00,33080084.00,83080084.00
20100813,Scott Pilgrim vs. The World,85000000.00,31611316.00,48056764.00
20030328,The Core,85000000.00,31111260.00,74132631.00
19970509,Father's Day,85000000.00,28681080.00,35681080.00
20020614,Scooby-Doo,84000000.00,153294164.00,276294164.00
20000728,Nutty Professor II: The Klumps,84000000.00,123307945.00,166307945.00
20130719,RED 2,84000000.00,53262560.00,137162560.00
20060623,Click,82500000.00,137355633.00,237685089.00
20061215,Charlotte's Web,82500000.00,82985708.00,143985708.00
20080214,Jumper,82500000.00,81168265.00,223636949.00
20080711,Hellboy II: The Golden Army,82500000.00,75986503.00,160388063.00
20050527,The Longest Yard,82000000.00,158119460.00,190320568.00
20100813,The Expendables,82000000.00,103068524.00,268268174.00
20001117,The 6th Day,82000000.00,34543701.00,96024898.00
20030523,Bruce Almighty,81000000.00,242704995.00,484468608.00
20120323,The Hunger Games,80000000.00,408010692.00,677923379.00
20110526,The Hangover Part II,80000000.00,254464305.00,586464305.00
19960521,Mission: Impossible,80000000.00,180981886.00,457697994.00
20170210,The Lego Batman Movie,80000000.00,175750384.00,310940997.00
20150925,Hotel Transylvania 2,80000000.00,169700110.00,470751398.00
19920618,Batman Returns,80000000.00,162833635.00,266824291.00
19990507,The Mummy,80000000.00,155385488.00,416385488.00
20060519,Over the Hedge,80000000.00,155019340.00,343397247.00
20020621,Lilo & Stitch,80000000.00,145771527.00,245800000.00
19980508,Deep Impact,80000000.00,140464664.00,349464664.00
20130712,Grown Ups 2,80000000.00,133668525.00,247023808.00
20111216,Alvin and the Chipmunks: Chipwrecked,80000000.00,133107389.00,349088523.00
20080620,Get Smart,80000000.00,130319208.00,226739416.00
20050311,Robots,80000000.00,128200012.00,260700012.00
20100219,Shutter Island,80000000.00,128012934.00,299461782.00
20031212,Something's Gotta Give,80000000.00,124685242.00,266685242.00
20081126,Four Christmases,80000000.00,120146040.00,168311558.00
19970627,Face/Off,80000000.00,112276146.00,241200000.00
20081225,Bedtime Stories,80000000.00,110101975.00,221468935.00
20020712,Road to Perdition,80000000.00,104054514.00,183354514.00
20110211,Just Go With It,80000000.00,103028109.00,214974953.00
20030214,Daredevil,80000000.00,102543518.00,182782518.00
20080926,Eagle Eye,80000000.00,101440743.00,178066569.00
19970606,Con Air,80000000.00,101117573.00,224117573.00
20101217,Yogi Bear,80000000.00,100246011.00,204774690.00
20031225,Cold Mountain,80000000.00,95632614.00,165173909.00
20100115,The Book of Eli,80000000.00,94835059.00,158750817.00
19971126,Flubber,80000000.00,92993801.00,177993801.00
19990723,The Haunting,80000000.00,91188905.00,180188905.00
19961115,Space Jam,80000000.00,90463534.00,250200000.00
20141017,Fury,80000000.00,85755593.00,210253368.00
20060210,The Pink Panther,80000000.00,82226474.00,158926474.00
20110708,Zookeeper,80000000.00,80360866.00,170805525.00
20081212,The Day the Earth Stood Still,80000000.00,79366978.00,233066978.00
19970808,Conspiracy Theory,80000000.00,76118990.00,142783718.00
19980612,"Six Days, Seven Nights",80000000.00,74339294.00,164800000.00
20020524,Spirit: Stallion of the Cimarron,80000000.00,73215310.00,106515310.00
20010608,Swordfish,80000000.00,69772969.00,147080413.00
19980403,Lost In Space,80000000.00,69117629.00,136047317.00
20040730,The Manchurian Candidate,80000000.00,65948711.00,96148711.00
20061122,Déjà Vu,80000000.00,64038616.00,181038616.00
20050624,Bewitched,80000000.00,63313159.00,131159306.00
20000101,Fantasia 2000 (IMAX),80000000.00,60507228.00,60507228.00
20020308,The Time Machine,80000000.00,56684819.00,98983590.00
19981002,What Dreams May Come,80000000.00,55485043.00,71485043.00
19981225,Mighty Joe Young,80000000.00,50632037.00,50632037.00
20051028,The Legend of Zorro,80000000.00,45575336.00,141475336.00
20001110,Little Nicky,80000000.00,39442871.00,58270391.00
20090925,Surrogates,80000000.00,38577772.00,119668350.00
20010608,Evolution,80000000.00,38311134.00,98341932.00
20050826,The Brothers Grimm,80000000.00,37899638.00,105299638.00
19961213,Mars Attacks!,80000000.00,37771017.00,101371017.00
20060414,The Wild,80000000.00,37384046.00,99010667.00
20131220,Walking with Dinosaurs,80000000.00,36076121.00,130580730.00
20001222,Thirteen Days,80000000.00,34566746.00,66554547.00
19961206,Daylight,80000000.00,32908290.00,158908290.00
20151023,The Last Witch Hunter,80000000.00,27367660.00,131234406.00
20140221,Pompeii,80000000.00,23169033.00,108469033.00
20000512,Battlefield Earth: A Saga of the Year 3000,80000000.00,21471685.00,29725663.00
20031114,Looney Tunes: Back in Action,80000000.00,20950820.00,54540662.00
20091218,Nine,80000000.00,19676965.00,53508858.00
20031126,Timeline,80000000.00,19480739.00,26703184.00
20100422,Oceans,80000000.00,19422319.00,86787530.00
19981125,Babe: Pig in the City,80000000.00,18319860.00,69131860.00
19971225,The Postman,80000000.00,17650704.00,20841123.00
20001110,Red Planet,80000000.00,17480890.00,33463969.00
20070112,Arthur et les Minimoys,80000000.00,15132763.00,113325743.00
20070817,The Invasion,80000000.00,15074191.00,40147042.00
20000616,Fantasia 2000 (Theatrical Release),80000000.00,9103630.00,9103630.00
20050902,A Sound of Thunder,80000000.00,1900451.00,6300451.00
20151231,"Don Gato, el inicio de la pandilla",80000000.00,0.00,4547660.00
19940615,The Lion King,79300000.00,422780140.00,987480140.00
20120210,Journey 2: The Mysterious Island,79000000.00,103860290.00,318146162.00
20111111,Jack and Jill,79000000.00,74158157.00,150519217.00
20011221,A Beautiful Mind,78000000.00,170708996.00,317668058.00
20130927,Cloudy with a Chance of Meatballs 2,78000000.00,119793567.00,274392649.00
20021004,Red Dragon,78000000.00,92955420.00,206455420.00
20040305,Hidalgo,78000000.00,67286731.00,108086731.00
20030711,The League of Extraordinary Gentlemen,78000000.00,66465204.00,179265204.00
20040820,Exorcist: The Beginning,78000000.00,41814863.00,43957541.00
20121231,Astérix et Obélix: Au service de Sa Majesté,77600000.00,0.00,60680125.00
20160212,The Little Prince,77500000.00,1311213.00,90905178.00
20130703,Despicable Me 2,76000000.00,368065385.00,975216835.00
20030606,2 Fast 2 Furious,76000000.00,127120058.00,236410607.00
20061225,Children of Men,76000000.00,35552383.00,69845011.00
20000630,The Adventures of Rocky & Bullwinkle,76000000.00,26000610.00,35129610.00
20160708,The Secret Life of Pets,75000000.00,368384330.00,875958307.00
19960702,Independence Day,75000000.00,306169255.00,817400878.00
20161221,Sing,75000000.00,270329045.00,627886287.00
20170630,Despicable Me 3,75000000.00,254486755.00,971686755.00
19970522,The Lost World: Jurassic Park,75000000.00,229086679.00,618638999.00
20060331,Ice Age: The Meltdown,75000000.00,195330621.00,651899282.00
20050527,Madagascar,75000000.00,193595521.00,556559566.00
20100625,Grown Ups,75000000.00,162001186.00,272223430.00
20041001,Shark Tale,75000000.00,161412000.00,371917043.00
20000714,X-Men,75000000.00,157299717.00,296872367.00
20080627,Wanted,75000000.00,134508551.00,342416460.00
19960607,The Rock,75000000.00,134069511.00,336069511.00
20040213,50 First Dates,75000000.00,120776832.00,196320329.00
20070720,Hairspray,75000000.00,118871849.00,203035572.00
20130531,Now You See Me,75000000.00,117723989.00,342769200.00
20061215,Dreamgirls,75000000.00,103365956.00,155708695.00
19990723,Inspector Gadget,75000000.00,97387965.00,97387965.00
20111111,Immortals,75000000.00,83504017.00,211562435.00
20040618,The Terminal,75000000.00,77073959.00,218673959.00
20050218,Constantine,75000000.00,75976178.00,221594911.00
20060721,Monster House,75000000.00,73661010.00,141267370.00
20001208,Vertical Limit,75000000.00,68473360.00,213500000.00
20071221,Charlie Wilson's War,75000000.00,66661095.00,119512771.00
19990416,Life,75000000.00,64062587.00,73521587.00
20050304,Be Cool,75000000.00,55849401.00,94944017.00
20051223,Munich,75000000.00,47379090.00,131492772.00
20100604,Killers,75000000.00,47059963.00,95572749.00
20150814,The Man From U.N.C.L.E.,75000000.00,45445109.00,105445109.00
